county,precinct,county_prec,obama,romney,clinton,trump,pct_obama,pct_romney,pct_clinton,pct_trump,berkley,heller,cortezmasto,heck,pct_berkley,pct_heller,pct_cortezmasto,pct_heck,pct_latino,votes_2012,votes_2016
003,1604,003_1604,384,337,413,328,0.5253078,0.4610123,0.535668,0.4254215,335,328,381,309,0.4582763,0.4487004,0.4941634,0.4007782,0.16946308724832215,731,771
003,1605,003_1605,548,241,470,268,0.6824408,0.3001245,0.601023,0.342711,472,239,452,234,0.5877958,0.2976339,0.5780051,0.2992328,0.15689381933438987,803,782
003,1606,003_1606,146,245,174,235,0.3677582,0.6171285,0.4,0.5402299,131,228,163,242,0.3299748,0.5743073,0.3747126,0.5563219,0.1076923076923077,397,435
003,1607,003_1607,0,1,49,34,0.0,1.0,0.5505618,0.3820225,0,1,42,35,0.0,1.0,0.4719101,0.3932584,0.13274336283185842,1,89
003,1608,003_1608,359,587,428,638,0.3763103,0.615304,0.381122,0.5681211,323,572,424,655,0.3385744,0.5995807,0.3775601,0.5832591,0.05718175629680054,954,1123
003,1609,003_1609,NA,NA,674,451,NA,NA,0.5584093,0.3736537,NA,NA,635,439,NA,NA,0.5260978,0.3637117,0.14722536806342015,NA,1207
003,1611,003_1611,646,289,602,277,0.6828753,0.3054968,0.6466165,0.2975295,552,270,546,266,0.5835095,0.2854123,0.5864662,0.2857143,0.16420782552918536,946,931
003,1612,003_1612,490,446,629,591,0.5174235,0.4709609,0.4933333,0.4635294,424,425,599,551,0.4477297,0.4487856,0.4698039,0.4321569,0.08840970350404313,947,1275
003,1613,003_1613,408,220,386,248,0.6405023,0.3453689,0.5659824,0.3636364,356,201,379,219,0.5588697,0.3155416,0.5557185,0.3211144,0.23790720631786771,637,682
003,1614,003_1614,425,265,385,315,0.6036932,0.3764205,0.5216802,0.4268293,367,260,381,277,0.5213068,0.3693182,0.5162601,0.3753388,0.18647166361974407,704,738
003,1615,003_1615,455,274,446,319,0.6115592,0.3682796,0.5533499,0.3957816,405,259,448,285,0.5443549,0.3481183,0.5558313,0.353598,0.29018612521150594,744,806
003,1616,003_1616,349,210,327,241,0.6080139,0.3658537,0.5404959,0.3983471,296,210,320,221,0.5156794,0.3658537,0.5289256,0.3652893,0.17538126361655773,574,605
003,1617,003_1617,507,270,457,285,0.6425856,0.3422053,0.5799493,0.3616751,433,254,426,262,0.5487959,0.3219265,0.5406091,0.3324873,0.20321285140562248,789,788
003,1618,003_1618,472,295,515,376,0.6005089,0.3753181,0.5496265,0.4012807,400,307,471,371,0.5089058,0.3905852,0.5026681,0.3959445,0.07312119160460392,786,937
003,1619,003_1619,656,508,737,549,0.5564038,0.4308736,0.5512341,0.4106208,578,508,694,525,0.490246,0.4308736,0.5190725,0.3926702,0.11619718309859155,1179,1337
003,1621,003_1621,481,249,441,264,0.6456376,0.3342282,0.5779817,0.3460026,400,246,422,241,0.5369127,0.3302013,0.55308,0.3158585,0.363556338028169,745,763
003,1623,003_1623,183,127,201,142,0.568323,0.3944099,0.5447155,0.3848239,151,120,197,130,0.4689441,0.3726708,0.5338753,0.3523035,0.26527050610820246,322,369
003,1624,003_1624,256,209,238,201,0.5446808,0.4446808,0.5031713,0.4249471,226,204,236,191,0.4808511,0.4340425,0.4989429,0.4038055,0.16997167138810199,470,473
003,1625,003_1625,385,282,367,280,0.5661765,0.4147059,0.5295815,0.4040404,341,273,346,260,0.5014706,0.4014706,0.4992785,0.3751804,0.12562313060817548,680,693
003,1631,003_1631,586,320,581,357,0.6355748,0.3470716,0.5874621,0.3609707,494,313,569,300,0.5357918,0.3394794,0.5753286,0.3033367,0.2843472317156528,922,989
003,1632,003_1632,368,185,339,197,0.6478873,0.3257042,0.591623,0.3438045,309,172,333,164,0.5440141,0.3028169,0.5811518,0.2862129,0.31664853101196955,568,573
003,1633,003_1633,767,246,678,328,0.7432171,0.2383721,0.650048,0.3144775,661,235,637,281,0.6405039,0.2277132,0.6107383,0.2694151,0.1688888888888889,1032,1043
003,1634,003_1634,505,154,478,184,0.755988,0.2305389,0.681883,0.2624822,445,152,456,166,0.6661677,0.2275449,0.6504993,0.2368046,0.24570575056011948,668,701
003,1635,003_1635,380,117,352,129,0.7509881,0.2312253,0.6929134,0.253937,315,115,319,118,0.6225296,0.2272727,0.6279528,0.2322835,0.20200892857142858,506,508
003,1641,003_1641,400,259,388,251,0.6006006,0.3888889,0.5825826,0.3768769,349,243,366,227,0.524024,0.3648649,0.5495495,0.3408408,0.2369146005509642,666,666
003,1642,003_1642,336,93,307,130,0.7653759,0.2118451,0.6616379,0.2801724,293,86,286,121,0.667426,0.1958998,0.6163793,0.2607759,0.20198675496688742,439,464
003,1643,003_1643,106,141,170,171,0.4189723,0.5573123,0.4735376,0.4763231,93,145,153,184,0.3675889,0.5731225,0.4261838,0.5125348,0.06821963394342762,253,359
003,1644,003_1644,0,1,0,1,0.0,1.0,0.0,1.0,0,1,0,1,0.0,1.0,0.0,1.0,0.0,1,1
003,1645,003_1645,67,48,78,51,0.5726496,0.4102564,0.5571429,0.3642857,61,42,77,44,0.5213675,0.3589744,0.55,0.3142857,0.09302325581395349,117,140
003,1651,003_1651,130,299,131,312,0.2961276,0.6810934,0.2835498,0.6753247,114,282,138,287,0.2596811,0.642369,0.2987013,0.6212121,0.09312977099236641,439,462
003,1652,003_1652,761,337,790,393,0.6794643,0.3008929,0.6350482,0.3159164,656,329,760,340,0.5857143,0.29375,0.6109325,0.2733119,0.16984045290787442,1120,1244
003,1653,003_1653,731,260,723,273,0.7230465,0.2571711,0.685308,0.2587678,637,256,678,245,0.6300693,0.2532146,0.642654,0.2322275,0.15681818181818183,1011,1055
003,1655,003_1655,636,259,685,296,0.7012128,0.2855568,0.6611969,0.2857143,518,261,655,257,0.5711136,0.2877619,0.6322394,0.2480695,0.13841961852861034,907,1036
003,1661,003_1661,616,288,570,301,0.6739606,0.3150985,0.6168831,0.3257576,518,274,531,291,0.5667396,0.2997812,0.5746753,0.3149351,0.16945876288659795,914,924
003,1662,003_1662,504,259,487,293,0.6387833,0.3282636,0.5853366,0.3521635,421,267,462,265,0.5335868,0.338403,0.5552884,0.3185096,0.17785977859778598,789,832
003,1664,003_1664,277,336,306,368,0.4460548,0.5410628,0.4334278,0.5212464,244,322,310,338,0.3929147,0.5185185,0.4390935,0.4787535,0.08333333333333333,621,706
003,1665,003_1665,1,2,0,0,0.3333333,0.6666667,NA,NA,1,2,0,0,0.3333333,0.6666667,NA,NA,0.75,3,0
003,1668,003_1668,436,597,596,766,0.416826,0.5707457,0.4197183,0.5394366,376,571,578,733,0.3594646,0.5458891,0.4070423,0.5161972,0.10259067357512953,1046,1420
003,1669,003_1669,198,237,230,243,0.4510251,0.5398633,0.46,0.486,159,245,225,248,0.3621868,0.5580866,0.45,0.496,0.13411078717201166,439,500
003,1670,003_1670,500,348,502,387,0.5767013,0.4013841,0.5312169,0.4095238,407,346,468,363,0.4694348,0.3990773,0.4952381,0.384127,0.15256588072122051,867,945
